participant_id,response_id,age,gender,scenario,topic,explanation_code,explanation_type,explanation_type_name,construct,rating
P054,R_8jUwtXkghMAko4Z,50-60,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P056,R_8raIXWlKLqKNVMR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P061,R_2KGVjxNJbUxmmwN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,1.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,1.0
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,6.0
P011,R_8gxhawknMc9x5oB,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,6.0
P035,R_2D6WTpT3P1jmFdZ,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,5.0
P039,R_8TXLz2ngPXUHsg1,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,3.0
P046,R_2znLVXbmg45JWPC,18-25,Other,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,4.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,4.0
P058,R_8t0tOyMuhWUt6AF,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,5.0
P060,R_2KDwfKnAPQGoSO7,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,5.0
P062,R_29if10lWZQQSQN4,18-25,Woman,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,2.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,trust,5.0
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,6.0
P011,R_8gxhawknMc9x5oB,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,3.0
P035,R_2D6WTpT3P1jmFdZ,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,5.0
P039,R_8TXLz2ngPXUHsg1,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,3.0
P046,R_2znLVXbmg45JWPC,18-25,Other,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,3.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,5.0
P058,R_8t0tOyMuhWUt6AF,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,3.0
P060,R_2KDwfKnAPQGoSO7,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,6.0
P062,R_29if10lWZQQSQN4,18-25,Woman,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,1.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,satisfaction,5.0
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,7.0
P011,R_8gxhawknMc9x5oB,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,4.0
P035,R_2D6WTpT3P1jmFdZ,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,5.0
P039,R_8TXLz2ngPXUHsg1,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,5.0
P046,R_2znLVXbmg45JWPC,18-25,Other,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,4.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,3.0
P058,R_8t0tOyMuhWUt6AF,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,7.0
P060,R_2KDwfKnAPQGoSO7,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,6.0
P062,R_29if10lWZQQSQN4,18-25,Woman,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,3.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,usability_understandability,6.0
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,6.0
P011,R_8gxhawknMc9x5oB,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,3.0
P035,R_2D6WTpT3P1jmFdZ,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,5.0
P039,R_8TXLz2ngPXUHsg1,35-45,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,5.0
P046,R_2znLVXbmg45JWPC,18-25,Other,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,4.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,6.0
P058,R_8t0tOyMuhWUt6AF,25-35,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,3.0
P060,R_2KDwfKnAPQGoSO7,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,5.0
P062,R_29if10lWZQQSQN4,18-25,Woman,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,2.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1B,B,Local feature-attribution / key-factor explanation,perceived_effectiveness,4.0
P004,R_2QsZYZ5xhhmtprB,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,7.0
P005,R_2mk0Otms6W3G7m6,50-60,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,5.0
P006,R_2z7P4z2c1fY25eU,35-45,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,6.0
P007,R_8eXG1jT9WHRNk6g,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,6.0
P008,R_8CZZj2bH16ds3Gk,60+,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P013,R_8dtu7pifvNrExGt,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P015,R_2hyaVao3MYVnU6V,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,3.0
P016,R_82Wg73Egv47VMfa,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,3.0
P017,R_28IjKGpZ0JV8Bd7,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,5.0
P019,R_8oSGgsahbAT7s0T,35-45,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P023,R_2FquOcvznAFp1ND,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,3.0
P025,R_8OHDD9l9hNnRn3F,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,5.0
P032,R_2jHdIVqxp0LxPTz,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,5.0
P033,R_8Ev4OYXrNqG40Ig,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P034,R_8fcTUmtbd7RWvR6,18-25,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,2.0
P035,R_2D6WTpT3P1jmFdZ,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,2.0
P039,R_8TXLz2ngPXUHsg1,35-45,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P045,R_2AuWuLj6hrD3vbP,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,7.0
P047,R_2r2g76EB5WzlPlE,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P048,R_2fvsGTsQzT2unVi,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,3.0
P049,R_2h4sb4bawJdulOo,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,5.0
P050,R_2HXj0saAJh7x4Us,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,3.0
P052,R_8hng6Y9RSLYM1uE,50-60,,H1,Headache,H1C,C,Counterfactual explanation,trust,5.0
P053,R_2dd6WbDazlsp6GR,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P054,R_8jUwtXkghMAko4Z,50-60,Woman,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P055,R_2OI7cjnhWztRfXn,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P056,R_8raIXWlKLqKNVMR,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,7.0
P057,R_2eQKZJlPjVkBdRH,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,5.0
P061,R_2KGVjxNJbUxmmwN,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,trust,4.0
P004,R_2QsZYZ5xhhmtprB,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P005,R_2mk0Otms6W3G7m6,50-60,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P006,R_2z7P4z2c1fY25eU,35-45,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,6.0
P007,R_8eXG1jT9WHRNk6g,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P008,R_8CZZj2bH16ds3Gk,60+,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P013,R_8dtu7pifvNrExGt,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,3.0
P015,R_2hyaVao3MYVnU6V,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P016,R_82Wg73Egv47VMfa,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,3.0
P017,R_28IjKGpZ0JV8Bd7,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P019,R_8oSGgsahbAT7s0T,35-45,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P023,R_2FquOcvznAFp1ND,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P025,R_8OHDD9l9hNnRn3F,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P032,R_2jHdIVqxp0LxPTz,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P033,R_8Ev4OYXrNqG40Ig,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P034,R_8fcTUmtbd7RWvR6,18-25,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,2.0
P035,R_2D6WTpT3P1jmFdZ,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,3.0
P039,R_8TXLz2ngPXUHsg1,35-45,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P045,R_2AuWuLj6hrD3vbP,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,6.0
P047,R_2r2g76EB5WzlPlE,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,3.0
P048,R_2fvsGTsQzT2unVi,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P049,R_2h4sb4bawJdulOo,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P050,R_2HXj0saAJh7x4Us,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P052,R_8hng6Y9RSLYM1uE,50-60,,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P053,R_2dd6WbDazlsp6GR,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P054,R_8jUwtXkghMAko4Z,50-60,Woman,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P055,R_2OI7cjnhWztRfXn,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,3.0
P056,R_8raIXWlKLqKNVMR,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,7.0
P057,R_2eQKZJlPjVkBdRH,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,5.0
P061,R_2KGVjxNJbUxmmwN,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,satisfaction,4.0
P004,R_2QsZYZ5xhhmtprB,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,5.0
P005,R_2mk0Otms6W3G7m6,50-60,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
P006,R_2z7P4z2c1fY25eU,35-45,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,5.0
P007,R_8eXG1jT9WHRNk6g,18-25,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,5.0
P008,R_8CZZj2bH16ds3Gk,60+,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,6.0
P013,R_8dtu7pifvNrExGt,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
P015,R_2hyaVao3MYVnU6V,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
P016,R_82Wg73Egv47VMfa,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,4.0
P017,R_28IjKGpZ0JV8Bd7,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
P019,R_8oSGgsahbAT7s0T,35-45,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
P023,R_2FquOcvznAFp1ND,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,4.0
P025,R_8OHDD9l9hNnRn3F,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
P032,R_2jHdIVqxp0LxPTz,25-35,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,4.0
P033,R_8Ev4OYXrNqG40Ig,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,5.0
P034,R_8fcTUmtbd7RWvR6,18-25,Woman,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
P035,R_2D6WTpT3P1jmFdZ,25-35,Man,H1,Headache,H1C,C,Counterfactual explanation,usability_understandability,3.0
