participant_id,response_id,scenario,topic,shown_code_1,shown_code_2,shown_type_1,shown_type_2,pair,preferred_code,preferred_type,preferred_type_name,no_clear_preference
P031,R_8ieNZXGBztLmYKu,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P032,R_2jHdIVqxp0LxPTz,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P033,R_8Ev4OYXrNqG40Ig,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P034,R_8fcTUmtbd7RWvR6,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P035,R_2D6WTpT3P1jmFdZ,H1,Headache,H1B,H1C,B,C,B|C,H1B,B,Local feature-attribution / key-factor explanation,False
P039,R_8TXLz2ngPXUHsg1,H1,Headache,H1B,H1C,B,C,B|C,H1C,C,Counterfactual explanation,False
P046,R_2znLVXbmg45JWPC,H1,Headache,H1B,H1D,B,D,B|D,H1B,B,Local feature-attribution / key-factor explanation,False
P047,R_2r2g76EB5WzlPlE,H1,Headache,H1C,H1D,C,D,C|D,H1C,C,Counterfactual explanation,False
P048,R_2fvsGTsQzT2unVi,H1,Headache,H1C,H1D,C,D,C|D,H1C,C,Counterfactual explanation,False
P049,R_2h4sb4bawJdulOo,H1,Headache,H1C,H1D,C,D,C|D,H1C,C,Counterfactual explanation,False
P050,R_2HXj0saAJh7x4Us,H1,Headache,H1C,H1D,C,D,C|D,H1C,C,Counterfactual explanation,False
P051,R_83jcdRgKC1yerGN,H1,Headache,H1A,H1B,A,B,A|B,H1A,A,Rule-based decision path,False
P052,R_8hng6Y9RSLYM1uE,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P053,R_2dd6WbDazlsp6GR,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P054,R_8jUwtXkghMAko4Z,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P055,R_2OI7cjnhWztRfXn,H1,Headache,H1C,H1E,C,E,C|E,H1E,E,Doctor-written-style explanation,False
P056,R_8raIXWlKLqKNVMR,H1,Headache,H1A,H1C,A,C,A|C,H1C,C,Counterfactual explanation,False
P057,R_2eQKZJlPjVkBdRH,H1,Headache,H1C,H1E,C,E,C|E,H1C,C,Counterfactual explanation,False
P058,R_8t0tOyMuhWUt6AF,H1,Headache,H1B,H1E,B,E,B|E,H1E,E,Doctor-written-style explanation,False
P060,R_2KDwfKnAPQGoSO7,H1,Headache,H1B,H1E,B,E,B|E,H1E,E,Doctor-written-style explanation,False
P061,R_2KGVjxNJbUxmmwN,H1,Headache,H1A,H1C,A,C,A|C,H1C,C,Counterfactual explanation,False
P062,R_29if10lWZQQSQN4,H1,Headache,H1B,H1E,B,E,B|E,H1E,E,Doctor-written-style explanation,False
P063,R_2pXrXB3B3nykjrP,H1,Headache,H1A,H1B,A,B,A|B,H1B,B,Local feature-attribution / key-factor explanation,False
P002,R_8txlseIZpRyf8eF,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P005,R_2mk0Otms6W3G7m6,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P006,R_2z7P4z2c1fY25eU,H2,Headache,H2D,H2E,D,E,D|E,H2E,E,Doctor-written-style explanation,False
P008,R_8CZZj2bH16ds3Gk,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P011,R_8gxhawknMc9x5oB,H2,Headache,H2C,H2E,C,E,C|E,H2E,E,Doctor-written-style explanation,False
P012,R_8kHr5DLgYiobzXY,H2,Headache,H2C,H2E,C,E,C|E,H2E,E,Doctor-written-style explanation,False
P013,R_8dtu7pifvNrExGt,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P015,R_2hyaVao3MYVnU6V,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P016,R_82Wg73Egv47VMfa,H2,Headache,H2D,H2E,D,E,D|E,H2E,E,Doctor-written-style explanation,False
P017,R_28IjKGpZ0JV8Bd7,H2,Headache,H2B,H2D,B,D,B|D,H2B,B,Local feature-attribution / key-factor explanation,False
P019,R_8oSGgsahbAT7s0T,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P022,R_2kM6LikSFtKGR2U,H2,Headache,H2C,H2E,C,E,C|E,H2E,E,Doctor-written-style explanation,False
P023,R_2FquOcvznAFp1ND,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P025,R_8OHDD9l9hNnRn3F,H2,Headache,H2B,H2D,B,D,B|D,H2B,B,Local feature-attribution / key-factor explanation,False
P030,R_81YN18e9BJFiEKu,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P031,R_8ieNZXGBztLmYKu,H2,Headache,H2D,H2E,D,E,D|E,H2E,E,Doctor-written-style explanation,False
P032,R_2jHdIVqxp0LxPTz,H2,Headache,H2D,H2E,D,E,D|E,H2E,E,Doctor-written-style explanation,False
P033,R_8Ev4OYXrNqG40Ig,H2,Headache,H2D,H2E,D,E,D|E,H2E,E,Doctor-written-style explanation,False
P034,R_8fcTUmtbd7RWvR6,H2,Headache,H2B,H2C,B,C,B|C,H2B,B,Local feature-attribution / key-factor explanation,False
P035,R_2D6WTpT3P1jmFdZ,H2,Headache,H2B,H2D,B,D,B|D,H2B,B,Local feature-attribution / key-factor explanation,False
P038,R_2pqPccJ7X6Ow6bL,H2,Headache,H2B,H2D,B,D,B|D,H2B,B,Local feature-attribution / key-factor explanation,False
P039,R_8TXLz2ngPXUHsg1,H2,Headache,H2B,H2D,B,D,B|D,H2B,B,Local feature-attribution / key-factor explanation,False
P045,R_2AuWuLj6hrD3vbP,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P046,R_2znLVXbmg45JWPC,H2,Headache,H2C,H2E,C,E,C|E,H2E,E,Doctor-written-style explanation,False
P047,R_2r2g76EB5WzlPlE,H2,Headache,H2A,H2E,A,E,A|E,H2A,A,Rule-based decision path,False
P048,R_2fvsGTsQzT2unVi,H2,Headache,H2A,H2B,A,B,A|B,H2A,A,Rule-based decision path,False
P049,R_2h4sb4bawJdulOo,H2,Headache,H2A,H2E,A,E,A|E,H2A,A,Rule-based decision path,False
P050,R_2HXj0saAJh7x4Us,H2,Headache,H2A,H2E,A,E,A|E,H2A,A,Rule-based decision path,False
P051,R_83jcdRgKC1yerGN,H2,Headache,H2C,H2D,C,D,C|D,H2C,C,Counterfactual explanation,False
P052,R_8hng6Y9RSLYM1uE,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P053,R_2dd6WbDazlsp6GR,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P054,R_8jUwtXkghMAko4Z,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P055,R_2OI7cjnhWztRfXn,H2,Headache,H2B,H2D,B,D,B|D,H2D,D,LLM natural-language explanation,False
P056,R_8raIXWlKLqKNVMR,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P057,R_2eQKZJlPjVkBdRH,H2,Headache,H2B,H2D,B,D,B|D,H2D,D,LLM natural-language explanation,False
P058,R_8t0tOyMuhWUt6AF,H2,Headache,H2A,H2C,A,C,A|C,H2A,A,Rule-based decision path,False
P059,R_2HrQQwfw9gObwJz,H2,Headache,H2A,H2C,A,C,A|C,H2A,A,Rule-based decision path,False
P060,R_2KDwfKnAPQGoSO7,H2,Headache,H2A,H2C,A,C,A|C,H2A,A,Rule-based decision path,False
P061,R_2KGVjxNJbUxmmwN,H2,Headache,H2B,H2E,B,E,B|E,H2E,E,Doctor-written-style explanation,False
P062,R_29if10lWZQQSQN4,H2,Headache,H2A,H2D,A,D,A|D,H2D,D,LLM natural-language explanation,False
P063,R_2pXrXB3B3nykjrP,H2,Headache,H2D,H2E,D,E,D|E,H2D,D,LLM natural-language explanation,False
P001,R_2siP2AR4k5kxlQd,H3,Headache,H3C,H3D,C,D,C|D,H3D,D,LLM natural-language explanation,False
P002,R_8txlseIZpRyf8eF,H3,Headache,H3A,H3C,A,C,A|C,H3A,A,Rule-based decision path,False
P004,R_2QsZYZ5xhhmtprB,H3,Headache,H3B,H3E,B,E,B|E,H3B,B,Local feature-attribution / key-factor explanation,False
P006,R_2z7P4z2c1fY25eU,H3,Headache,H3B,H3E,B,E,B|E,H3B,B,Local feature-attribution / key-factor explanation,False
P008,R_8CZZj2bH16ds3Gk,H3,Headache,H3B,H3D,B,D,B|D,H3B,B,Local feature-attribution / key-factor explanation,False
P011,R_8gxhawknMc9x5oB,H3,Headache,H3A,H3E,A,E,A|E,H3A,A,Rule-based decision path,False
P012,R_8kHr5DLgYiobzXY,H3,Headache,H3A,H3B,A,B,A|B,H3A,A,Rule-based decision path,False
P013,R_8dtu7pifvNrExGt,H3,Headache,H3A,H3D,A,D,A|D,H3A,A,Rule-based decision path,False
P015,R_2hyaVao3MYVnU6V,H3,Headache,H3A,H3D,A,D,A|D,H3A,A,Rule-based decision path,False
P016,R_82Wg73Egv47VMfa,H3,Headache,H3B,H3D,B,D,B|D,H3B,B,Local feature-attribution / key-factor explanation,False
P017,R_28IjKGpZ0JV8Bd7,H3,Headache,H3B,H3E,B,E,B|E,H3E,E,Doctor-written-style explanation,False
P019,R_8oSGgsahbAT7s0T,H3,Headache,H3B,H3D,B,D,B|D,H3B,B,Local feature-attribution / key-factor explanation,False
P022,R_2kM6LikSFtKGR2U,H3,Headache,H3A,H3B,A,B,A|B,H3A,A,Rule-based decision path,False
P023,R_2FquOcvznAFp1ND,H3,Headache,H3A,H3D,A,D,A|D,H3A,A,Rule-based decision path,False
P025,R_8OHDD9l9hNnRn3F,H3,Headache,H3A,H3E,A,E,A|E,H3A,A,Rule-based decision path,False
P030,R_81YN18e9BJFiEKu,H3,Headache,H3A,H3C,A,C,A|C,H3A,A,Rule-based decision path,False
P031,R_8ieNZXGBztLmYKu,H3,Headache,H3B,H3E,B,E,B|E,H3B,B,Local feature-attribution / key-factor explanation,False
P032,R_2jHdIVqxp0LxPTz,H3,Headache,H3B,H3E,B,E,B|E,H3E,E,Doctor-written-style explanation,False
P033,R_8Ev4OYXrNqG40Ig,H3,Headache,H3B,H3E,B,E,B|E,H3E,E,Doctor-written-style explanation,False
P034,R_8fcTUmtbd7RWvR6,H3,Headache,H3B,H3E,B,E,B|E,H3E,E,Doctor-written-style explanation,False
P035,R_2D6WTpT3P1jmFdZ,H3,Headache,H3B,H3C,B,C,B|C,H3B,B,Local feature-attribution / key-factor explanation,False
P038,R_2pqPccJ7X6Ow6bL,H3,Headache,H3B,H3C,B,C,B|C,H3C,C,Counterfactual explanation,False
P039,R_8TXLz2ngPXUHsg1,H3,Headache,H3B,H3C,B,C,B|C,H3B,B,Local feature-attribution / key-factor explanation,False
P045,R_2AuWuLj6hrD3vbP,H3,Headache,H3B,H3D,B,D,B|D,H3B,B,Local feature-attribution / key-factor explanation,False
P046,R_2znLVXbmg45JWPC,H3,Headache,H3A,H3D,A,D,A|D,H3A,A,Rule-based decision path,False
P047,R_2r2g76EB5WzlPlE,H3,Headache,H3A,H3B,A,B,A|B,H3A,A,Rule-based decision path,False
P048,R_2fvsGTsQzT2unVi,H3,Headache,H3A,H3E,A,E,A|E,H3A,A,Rule-based decision path,False
P049,R_2h4sb4bawJdulOo,H3,Headache,H3A,H3B,A,B,A|B,H3A,A,Rule-based decision path,False
P050,R_2HXj0saAJh7x4Us,H3,Headache,H3A,H3B,A,B,A|B,H3A,A,Rule-based decision path,False
P051,R_83jcdRgKC1yerGN,H3,Headache,H3A,H3E,A,E,A|E,H3A,A,Rule-based decision path,False
P052,R_8hng6Y9RSLYM1uE,H3,Headache,H3A,H3D,A,D,A|D,H3A,A,Rule-based decision path,False
P053,R_2dd6WbDazlsp6GR,H3,Headache,H3A,H3D,A,D,A|D,H3A,A,Rule-based decision path,False
P054,R_8jUwtXkghMAko4Z,H3,Headache,H3A,H3D,A,D,A|D,H3A,A,Rule-based decision path,False
P055,R_2OI7cjnhWztRfXn,H3,Headache,H3A,H3C,A,C,A|C,H3A,A,Rule-based decision path,False
P058,R_8t0tOyMuhWUt6AF,H3,Headache,H3D,H3E,D,E,D|E,H3D,D,LLM natural-language explanation,False
P060,R_2KDwfKnAPQGoSO7,H3,Headache,H3B,H3D,B,D,B|D,H3D,D,LLM natural-language explanation,False
P061,R_2KGVjxNJbUxmmwN,H3,Headache,H3B,H3D,B,D,B|D,H3D,D,LLM natural-language explanation,False
P062,R_29if10lWZQQSQN4,H3,Headache,H3A,H3C,A,C,A|C,H3C,C,Counterfactual explanation,False
P063,R_2pXrXB3B3nykjrP,H3,Headache,H3A,H3C,A,C,A|C,H3A,A,Rule-based decision path,False
P001,R_2siP2AR4k5kxlQd,H4,Headache,H4A,H4E,A,E,A|E,H4A,A,Rule-based decision path,False
P002,R_8txlseIZpRyf8eF,H4,Headache,H4D,H4E,D,E,D|E,H4D,D,LLM natural-language explanation,False
P005,R_2mk0Otms6W3G7m6,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P006,R_2z7P4z2c1fY25eU,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P007,R_8eXG1jT9WHRNk6g,H4,Headache,H4A,H4D,A,D,A|D,H4A,A,Rule-based decision path,False
P008,R_8CZZj2bH16ds3Gk,H4,Headache,H4A,H4C,A,C,A|C,H4A,A,Rule-based decision path,False
P011,R_8gxhawknMc9x5oB,H4,Headache,H4A,H4D,A,D,A|D,H4A,A,Rule-based decision path,False
P012,R_8kHr5DLgYiobzXY,H4,Headache,H4B,H4C,B,C,B|C,H4B,B,Local feature-attribution / key-factor explanation,False
P013,R_8dtu7pifvNrExGt,H4,Headache,H4B,H4C,B,C,B|C,H4B,B,Local feature-attribution / key-factor explanation,False
P015,R_2hyaVao3MYVnU6V,H4,Headache,H4C,H4E,C,E,C|E,H4E,E,Doctor-written-style explanation,False
P016,R_82Wg73Egv47VMfa,H4,Headache,H4A,H4E,A,E,A|E,H4A,A,Rule-based decision path,False
P017,R_28IjKGpZ0JV8Bd7,H4,Headache,H4A,H4D,A,D,A|D,H4A,A,Rule-based decision path,False
P019,R_8oSGgsahbAT7s0T,H4,Headache,H4A,H4E,A,E,A|E,H4A,A,Rule-based decision path,False
P022,R_2kM6LikSFtKGR2U,H4,Headache,H4B,H4D,B,D,B|D,H4D,D,LLM natural-language explanation,False
P023,R_2FquOcvznAFp1ND,H4,Headache,H4B,H4E,B,E,B|E,H4E,E,Doctor-written-style explanation,False
P025,R_8OHDD9l9hNnRn3F,H4,Headache,H4B,H4E,B,E,B|E,H4E,E,Doctor-written-style explanation,False
P030,R_81YN18e9BJFiEKu,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P031,R_8ieNZXGBztLmYKu,H4,Headache,H4C,H4D,C,D,C|D,H4C,C,Counterfactual explanation,False
P032,R_2jHdIVqxp0LxPTz,H4,Headache,H4C,H4D,C,D,C|D,H4D,D,LLM natural-language explanation,False
P033,R_8Ev4OYXrNqG40Ig,H4,Headache,H4C,H4D,C,D,C|D,H4C,C,Counterfactual explanation,False
P034,R_8fcTUmtbd7RWvR6,H4,Headache,H4A,H4B,A,B,A|B,H4A,A,Rule-based decision path,False
P035,R_2D6WTpT3P1jmFdZ,H4,Headache,H4A,H4E,A,E,A|E,H4A,A,Rule-based decision path,False
P038,R_2pqPccJ7X6Ow6bL,H4,Headache,H4A,H4E,A,E,A|E,H4A,A,Rule-based decision path,False
P039,R_8TXLz2ngPXUHsg1,H4,Headache,H4A,H4E,A,E,A|E,H4A,A,Rule-based decision path,False
P046,R_2znLVXbmg45JWPC,H4,Headache,H4B,H4E,B,E,B|E,H4E,E,Doctor-written-style explanation,False
P047,R_2r2g76EB5WzlPlE,H4,Headache,H4C,H4E,C,E,C|E,H4E,E,Doctor-written-style explanation,False
P048,R_2fvsGTsQzT2unVi,H4,Headache,H4D,H4E,D,E,D|E,H4E,E,Doctor-written-style explanation,False
P049,R_2h4sb4bawJdulOo,H4,Headache,H4A,H4E,A,E,A|E,H4A,A,Rule-based decision path,False
P050,R_2HXj0saAJh7x4Us,H4,Headache,H4C,H4E,C,E,C|E,H4E,E,Doctor-written-style explanation,False
P051,R_83jcdRgKC1yerGN,H4,Headache,H4B,H4C,B,C,B|C,H4B,B,Local feature-attribution / key-factor explanation,False
P052,R_8hng6Y9RSLYM1uE,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P053,R_2dd6WbDazlsp6GR,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P054,R_8jUwtXkghMAko4Z,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P055,R_2OI7cjnhWztRfXn,H4,Headache,H4A,H4B,A,B,A|B,H4A,A,Rule-based decision path,False
P056,R_8raIXWlKLqKNVMR,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P057,R_2eQKZJlPjVkBdRH,H4,Headache,H4A,H4D,A,D,A|D,H4A,A,Rule-based decision path,False
P058,R_8t0tOyMuhWUt6AF,H4,Headache,H4B,H4C,B,C,B|C,H4C,C,Counterfactual explanation,False
P059,R_2HrQQwfw9gObwJz,H4,Headache,H4D,H4E,D,E,D|E,H4D,D,LLM natural-language explanation,False
P060,R_2KDwfKnAPQGoSO7,H4,Headache,H4C,H4E,C,E,C|E,H4C,C,Counterfactual explanation,False
P061,R_2KGVjxNJbUxmmwN,H4,Headache,H4A,H4E,A,E,A|E,H4E,E,Doctor-written-style explanation,False
P062,R_29if10lWZQQSQN4,H4,Headache,H4B,H4E,B,E,B|E,H4B,B,Local feature-attribution / key-factor explanation,False
P063,R_2pXrXB3B3nykjrP,H4,Headache,H4B,H4D,B,D,B|D,H4B,B,Local feature-attribution / key-factor explanation,False
P002,R_8txlseIZpRyf8eF,H5,Headache,H5B,H5C,B,C,B|C,H5B,B,Local feature-attribution / key-factor explanation,False
P004,R_2QsZYZ5xhhmtprB,H5,Headache,H5B,H5D,B,D,B|D,H5B,B,Local feature-attribution / key-factor explanation,False
P006,R_2z7P4z2c1fY25eU,H5,Headache,H5A,H5C,A,C,A|C,H5A,A,Rule-based decision path,False
P008,R_8CZZj2bH16ds3Gk,H5,Headache,H5D,H5E,D,E,D|E,H5E,E,Doctor-written-style explanation,False
P011,R_8gxhawknMc9x5oB,H5,Headache,H5B,H5C,B,C,B|C,H5B,B,Local feature-attribution / key-factor explanation,False
P012,R_8kHr5DLgYiobzXY,H5,Headache,H5D,H5E,D,E,D|E,H5E,E,Doctor-written-style explanation,False
P013,R_8dtu7pifvNrExGt,H5,Headache,H5A,H5D,A,D,A|D,H5A,A,Rule-based decision path,False
P015,R_2hyaVao3MYVnU6V,H5,Headache,H5B,H5D,B,D,B|D,H5B,B,Local feature-attribution / key-factor explanation,False
P016,R_82Wg73Egv47VMfa,H5,Headache,H5B,H5C,B,C,B|C,H5B,B,Local feature-attribution / key-factor explanation,False
P017,R_28IjKGpZ0JV8Bd7,H5,Headache,H5C,H5E,C,E,C|E,H5E,E,Doctor-written-style explanation,False
P019,R_8oSGgsahbAT7s0T,H5,Headache,H5C,H5D,C,D,C|D,H5C,C,Counterfactual explanation,False
P022,R_2kM6LikSFtKGR2U,H5,Headache,H5A,H5D,A,D,A|D,H5D,D,LLM natural-language explanation,False
P023,R_2FquOcvznAFp1ND,H5,Headache,H5C,H5D,C,D,C|D,H5C,C,Counterfactual explanation,False
P025,R_8OHDD9l9hNnRn3F,H5,Headache,H5C,H5D,C,D,C|D,H5C,C,Counterfactual explanation,False
P030,R_81YN18e9BJFiEKu,H5,Headache,H5C,H5E,C,E,C|E,H5E,E,Doctor-written-style explanation,False
P031,R_8ieNZXGBztLmYKu,H5,Headache,H5A,H5B,A,B,A|B,H5A,A,Rule-based decision path,False
P032,R_2jHdIVqxp0LxPTz,H5,Headache,H5A,H5B,A,B,A|B,H5A,A,Rule-based decision path,False
P033,R_8Ev4OYXrNqG40Ig,H5,Headache,H5A,H5B,A,B,A|B,H5A,A,Rule-based decision path,False
P034,R_8fcTUmtbd7RWvR6,H5,Headache,H5B,H5D,B,D,B|D,H5B,B,Local feature-attribution / key-factor explanation,False
P035,R_2D6WTpT3P1jmFdZ,H5,Headache,H5B,H5C,B,C,B|C,H5B,B,Local feature-attribution / key-factor explanation,False
P038,R_2pqPccJ7X6Ow6bL,H5,Headache,H5B,H5C,B,C,B|C,H5B,B,Local feature-attribution / key-factor explanation,False
P039,R_8TXLz2ngPXUHsg1,H5,Headache,H5B,H5C,B,C,B|C,H5C,C,Counterfactual explanation,False
P046,R_2znLVXbmg45JWPC,H5,Headache,H5A,H5C,A,C,A|C,H5A,A,Rule-based decision path,False
P047,R_2r2g76EB5WzlPlE,H5,Headache,H5B,H5D,B,D,B|D,H5B,B,Local feature-attribution / key-factor explanation,False
P048,R_2fvsGTsQzT2unVi,H5,Headache,H5B,H5C,B,C,B|C,H5B,B,Local feature-attribution / key-factor explanation,False
P049,R_2h4sb4bawJdulOo,H5,Headache,H5B,H5D,B,D,B|D,H5B,B,Local feature-attribution / key-factor explanation,False
P050,R_2HXj0saAJh7x4Us,H5,Headache,H5B,H5D,B,D,B|D,H5B,B,Local feature-attribution / key-factor explanation,False
P051,R_83jcdRgKC1yerGN,H5,Headache,H5D,H5E,D,E,D|E,H5E,E,Doctor-written-style explanation,False
P052,R_8hng6Y9RSLYM1uE,H5,Headache,H5C,H5E,C,E,C|E,H5E,E,Doctor-written-style explanation,False
P053,R_2dd6WbDazlsp6GR,H5,Headache,H5C,H5E,C,E,C|E,H5E,E,Doctor-written-style explanation,False
P054,R_8jUwtXkghMAko4Z,H5,Headache,H5C,H5E,C,E,C|E,H5E,E,Doctor-written-style explanation,False
P055,R_2OI7cjnhWztRfXn,H5,Headache,H5D,H5E,D,E,D|E,H5D,D,LLM natural-language explanation,False
P056,R_8raIXWlKLqKNVMR,H5,Headache,H5D,H5E,D,E,D|E,H5E,E,Doctor-written-style explanation,False
P057,R_2eQKZJlPjVkBdRH,H5,Headache,H5B,H5E,B,E,B|E,H5B,B,Local feature-attribution / key-factor explanation,False
P058,R_8t0tOyMuhWUt6AF,H5,Headache,H5A,H5E,A,E,A|E,H5E,E,Doctor-written-style explanation,False
P059,R_2HrQQwfw9gObwJz,H5,Headache,H5B,H5D,B,D,B|D,H5D,D,LLM natural-language explanation,False
P060,R_2KDwfKnAPQGoSO7,H5,Headache,H5A,H5D,A,D,A|D,H5D,D,LLM natural-language explanation,False
P061,R_2KGVjxNJbUxmmwN,H5,Headache,H5C,H5D,C,D,C|D,H5D,D,LLM natural-language explanation,False
P062,R_29if10lWZQQSQN4,H5,Headache,H5C,H5D,C,D,C|D,H5D,D,LLM natural-language explanation,False
P063,R_2pXrXB3B3nykjrP,H5,Headache,H5C,H5E,C,E,C|E,H5E,E,Doctor-written-style explanation,False
P001,R_2siP2AR4k5kxlQd,B1,Belly/stomach pain,B1A,B1B,A,B,A|B,B1A,A,Rule-based decision path,False
P002,R_8txlseIZpRyf8eF,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1E,E,Doctor-written-style explanation,False
P004,R_2QsZYZ5xhhmtprB,B1,Belly/stomach pain,B1A,B1D,A,D,A|D,B1A,A,Rule-based decision path,False
P005,R_2mk0Otms6W3G7m6,B1,Belly/stomach pain,B1D,B1E,D,E,D|E,B1E,E,Doctor-written-style explanation,False
P006,R_2z7P4z2c1fY25eU,B1,Belly/stomach pain,B1B,B1D,B,D,B|D,B1B,B,Local feature-attribution / key-factor explanation,False
P007,R_8eXG1jT9WHRNk6g,B1,Belly/stomach pain,B1C,B1E,C,E,C|E,B1E,E,Doctor-written-style explanation,False
P008,R_8CZZj2bH16ds3Gk,B1,Belly/stomach pain,B1C,B1E,C,E,C|E,B1E,E,Doctor-written-style explanation,False
P009,R_2CJjxOa0OLMTNE1,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P011,R_8gxhawknMc9x5oB,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P013,R_8dtu7pifvNrExGt,B1,Belly/stomach pain,B1B,B1E,B,E,B|E,B1E,E,Doctor-written-style explanation,False
P015,R_2hyaVao3MYVnU6V,B1,Belly/stomach pain,B1B,B1E,B,E,B|E,B1E,E,Doctor-written-style explanation,False
P016,R_82Wg73Egv47VMfa,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P018,R_8onlXHxwbhXjDGm,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P019,R_8oSGgsahbAT7s0T,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P020,R_2nGbLUYu0UNb0Ax,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P021,R_2m8uvmVPOFVMslr,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
